#doc source pos typeindex type topic
0 NA 0 0 Helt 37
0 NA 1 1 år 3
0 NA 2 2 jtr. 3
0 NA 3 3 is; 45
0 NA 4 4 x«. 3
0 NA 5 5 — 3
0 NA 6 6 g- 37
0 NA 7 7 5- 3
0 NA 8 8 Haiti 3
0 NA 9 1 år 3
0 NA 10 9 » 3
0 NA 11 10 6: 3
0 NA 12 11 50 10
0 NA 13 9 » 3
0 NA 14 12 7: 37
0 NA 15 13 00 23
0 NA 16 9 » 3
0 NA 17 14 8* 3
0 NA 18 15 25 3
0 NA 19 16 Fjärdedels 3
0 NA 20 1 år 3
0 NA 21 9 » 3
0 NA 22 17 3: 3
0 NA 23 15 25 3
0 NA 24 9 » 3
0 NA 25 18 8: 20
0 NA 26 19 75 3
0 NA 27 9 » 3
0 NA 28 20 Is 3
0 NA 29 19 75 3
0 NA 30 21 En 37
0 NA 31 22 månad 3
0 NA 32 23 ...» 3
0 NA 33 20 Is 3
0 NA 34 24 10 3
0 NA 35 25 ls 26
0 NA 36 26 40 3
0 NA 37 9 » 3
0 NA 38 27 Os 3
0 NA 39 28 65 3
1 NA 0 29 OTTO 7
1 NA 1 30 v, 33
1 NA 2 31 ZWEIGBERGK, 33
1 NA 3 32 UTGIFVARE 7
1 NA 4 33 OCH 33
1 NA 5 34 REDAKTÖR. 21
1 NA 6 35 Träffas 12
1 NA 7 36 säkrast 33
1 NA 8 37 kl. 20
1 NA 9 38 1—2. 44
2 NA 0 39 I 24
2 NA 1 40 UiE\S 26
2 NA 2 41 \ 24
2 NA 3 42 V 36
2 NA 4 43 HETER. 24
3 NA 0 44 Dagens 34
3 NA 1 45 Nyheter 38
3 NA 2 46 utgifves 10
3 NA 3 47 dag 28
3 NA 4 48 två 38
3 NA 5 49 nummer 17
3 NA 6 50 (A 38
3 NA 7 51 och 28
3 NA 8 52 B). 28
4 NA 0 53 A-numret 2
4 NA 1 54 inneli. 2
4 NA 2 55 följande 25
4 NA 3 56 annonsrubriker: 36
4 NA 4 57 Diverse 42
4 NA 5 58 annonser 36
4 NA 6 59 för© 42
4 NA 7 60 texten, 36
4 NA 8 61 Offentliga 42
4 NA 9 62 nöjen, 0
4 NA 10 63 Sammanträden, 2
4 NA 11 64 Förloradt, 19
4 NA 12 65 Tillvarataget 21
4 NA 13 51 och 12
4 NA 14 66 Diverse. 0
5 NA 0 67 Hos 0
5 NA 1 68 k. 31
5 NA 2 69 : 16
5 NA 3 70 ha 14
5 NA 4 71 delegerade 27
5 NA 5 72 för 14
5 NA 6 73 bästutställningskommittéen 31
5 NA 7 74 -Stockholm, 27
5 NA 8 75 Svenska 10
5 NA 9 76 trafsällskapet, 27
5 NA 10 77 Stockholms 31
5 NA 11 78 kapplöpningssällskap 26
5 NA 12 79 ooh 4
5 NA 13 80 Sto 27
5 NA 14 81 ekholms 8
5 NA 15 82 fältridtklubb 27
5 NA 16 83 gjort 19
5 NA 17 84 c-n 27
5 NA 18 85 gemensam 27
5 NA 19 86 ansökan 27
5 NA 20 87 om 16
5 NA 21 88 tillstånd 10
5 NA 22 89 att 19
5 NA 23 90 innevarande 8
5 NA 24 1 år 16
5 NA 25 91 anordna 32
5 NA 26 92 lotteri 10
5 NA 27 93 å 4
5 NA 28 94 häatar, 10
5 NA 29 95 hvilken 14
5 NA 30 86 ansökan 27
5 NA 31 96 är 16
5 NA 32 97 undertecknad 32
5 NA 33 98 af 16
5 NA 34 99 bl. 32
5 NA 35 100 a. 31
5 NA 36 101 prins 10
5 NA 37 102 Carl. 19
5 NA 38 103 Öfver 32
5 NA 39 104 denna 14
5 NA 40 105 ansökning 27
5 NA 41 106 liar 10
5 NA 42 68 k. 31
5 NA 43 107 m:t 44
5 NA 44 108 infordrat 26
5 NA 45 109 öfvemtåthå 10
5 NA 46 110 1 4
5 NA 47 111 lareäimbetets 27
5 NA 48 112 utlåtande, 10
5 NA 49 51 och 16
5 NA 50 113 detta 14
5 NA 51 114 blef 0
5 NA 52 115 går 19
5 NA 53 116 middag 32
5 NA 54 117 färdigt 10
5 NA 55 72 för 16
5 NA 56 118 expedition. 44
5 NA 57 119 Öfverståthållareämbetet 32
5 NA 58 120 erinrar 40
5 NA 59 121 till 16
5 NA 60 122 en 16
